City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Santa Cruz,BO,-17.8,-63.1667,78.26,78,75,6.91,broken clouds
1,Gradignan,FR,44.7726,-0.6139,48.18,90,75,1.01,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,59.29,94,100,10.0,moderate rain
3,Albany,US,42.6001,-73.9662,38.8,59,100,6.13,overcast clouds
4,Bluff,NZ,-46.6,168.3333,55.8,54,13,19.22,few clouds
5,Vestmannaeyjar,IS,63.4427,-20.2734,43.47,69,62,22.97,broken clouds
6,Mataura,NZ,-46.1927,168.8643,55.47,44,87,7.25,overcast clouds
7,Kautokeino,NO,69.0125,23.0412,-24.54,100,98,4.38,overcast clouds
8,Senador Pompeu,BR,-5.5881,-39.3717,82.04,65,23,9.13,few clouds
9,Majene,ID,-3.5403,118.9707,80.91,82,100,8.39,very heavy rain
10,Yurimaguas,PE,-5.9,-76.0833,80.76,89,40,3.44,heavy intensity rain
11,Atuona,PF,-9.8,-139.0333,78.84,74,8,18.32,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,68.22,88,12,9.1,few clouds
13,Busselton,AU,-33.65,115.3333,62.1,58,90,16.53,overcast clouds
14,Kapaa,US,22.0752,-159.319,79.12,68,40,5.01,light rain
15,Dikson,RU,73.5069,80.5464,-6.56,96,100,9.71,overcast clouds
16,Lorengau,PG,-2.0226,147.2712,86.47,72,97,17.34,moderate rain
17,Qasigiannguit,GL,68.8193,-51.1922,28.65,63,100,17.9,overcast clouds
18,Victoria,HK,22.2855,114.1577,64.33,53,89,1.01,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,51.91,46,75,16.11,broken clouds
20,Sao Filipe,CV,14.8961,-24.4956,75.29,74,14,10.56,few clouds
21,Nikologory,RU,56.1413,41.9922,20.57,90,100,6.04,overcast clouds
22,Liwale,TZ,-9.7667,37.9333,69.91,98,95,1.25,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,76.78,72,100,6.42,overcast clouds
24,Hualmay,PE,-11.0964,-77.6139,66.78,84,100,10.4,overcast clouds
25,Qaqortoq,GL,60.7167,-46.0333,25.3,78,27,10.92,scattered clouds
26,Hermanus,ZA,-34.4187,19.2345,60.91,94,100,9.35,light rain
27,Qaanaaq,GL,77.484,-69.3632,20.5,85,100,5.82,overcast clouds
28,Port Alfred,ZA,-33.5906,26.891,67.95,94,77,12.73,broken clouds
29,Kavieng,PG,-2.5744,150.7967,83.5,75,86,7.25,light rain
30,Goderich,CA,43.7501,-81.7165,33.21,86,100,21.85,snow
31,Lata,PT,40.1629,-8.3327,52.81,95,26,0.94,scattered clouds
32,Hilo,US,19.7297,-155.09,73.13,96,90,6.91,mist
33,Port Hardy,CA,50.6996,-127.4199,37.4,86,90,5.75,overcast clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,74.37,87,81,20.67,broken clouds
35,Saskylakh,RU,71.9167,114.0833,-34.22,99,92,4.76,overcast clouds
36,Torbay,CA,47.6666,-52.7314,32.88,91,90,11.5,light shower snow
37,Ushuaia,AR,-54.8,-68.3,46.06,61,75,27.63,broken clouds
38,Jamestown,US,42.097,-79.2353,45.99,51,100,11.99,overcast clouds
39,Chuy,UY,-33.6971,-53.4616,63.88,88,100,6.31,overcast clouds
40,Butaritari,KI,3.0707,172.7902,80.98,81,94,12.75,moderate rain
41,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,72,63,21.85,broken clouds
42,Nikolskoye,RU,59.7035,30.7861,-2.6,97,6,4.59,clear sky
43,Roebourne,AU,-20.7833,117.1333,99.45,17,23,16.42,few clouds
44,Geraldton,AU,-28.7667,114.6,81.12,34,0,18.41,clear sky
45,Rafaela,AR,-31.2503,-61.4867,75.0,64,0,8.08,clear sky
46,Kaitangata,NZ,-46.2817,169.8464,53.92,58,71,8.61,broken clouds
47,Yellowknife,CA,62.456,-114.3525,-19.59,82,1,4.61,clear sky
48,Bengkulu,ID,-3.8004,102.2655,78.15,84,100,7.16,overcast clouds
49,Fortuna,US,40.5982,-124.1573,53.42,73,90,1.01,overcast clouds
50,Port Elizabeth,ZA,-33.918,25.5701,64.09,100,40,12.66,light rain
51,Bathsheba,BB,13.2167,-59.5167,81.21,74,75,21.85,broken clouds
52,Kualakapuas,ID,-3.0091,114.3876,77.16,92,100,2.01,overcast clouds
53,Guerrero Negro,MX,27.9769,-114.0611,63.39,82,0,14.56,clear sky
54,Cabo San Lucas,MX,22.8909,-109.9124,78.51,62,99,5.48,overcast clouds
55,Castro,BR,-24.7911,-50.0119,63.09,88,96,2.13,overcast clouds
56,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,87,90,14.72,overcast clouds
57,Nieves,PH,15.3274,120.9485,77.94,65,79,2.51,broken clouds
58,Lanigan,CA,51.8501,-105.0344,-3.71,91,57,9.91,broken clouds
59,Penzance,GB,50.1186,-5.5371,46.76,66,100,9.93,overcast clouds
60,Kedrovyy,RU,56.1667,91.8167,30.61,86,97,11.3,overcast clouds
61,Kulhudhuffushi,MV,6.6221,73.07,81.57,75,18,8.03,few clouds
62,Kahului,US,20.8947,-156.47,74.84,89,90,8.05,moderate rain
63,Walvis Bay,NA,-22.9575,14.5053,58.15,82,0,2.3,clear sky
64,Witu,KE,-2.3889,40.4382,80.76,87,63,5.44,light rain
65,Huarmey,PE,-10.0681,-78.1522,66.54,87,100,9.24,overcast clouds
66,Vestmanna,FO,62.1564,-7.1664,36.52,70,90,13.8,overcast clouds
67,Georgetown,MY,5.4112,100.3354,78.89,81,20,1.99,few clouds
68,Trelew,AR,-43.249,-65.3051,65.16,54,3,13.13,clear sky
69,Emerald,AU,-23.5333,148.1667,82.35,65,90,10.36,overcast clouds
70,Lodja,CD,-3.4833,23.4333,69.6,97,100,1.21,overcast clouds
71,Nouadhibou,MR,20.931,-17.0347,66.18,55,66,11.5,dust
72,Dhone,IN,15.4167,77.8833,71.4,71,60,3.89,broken clouds
73,Cape Town,ZA,-33.9258,18.4232,61.21,88,75,16.11,light intensity drizzle
74,Port Macquarie,AU,-31.4333,152.9167,72.9,66,68,6.71,broken clouds
75,Lumphat,KH,13.4878,106.9816,72.18,71,17,4.27,few clouds
76,Peniche,PT,39.3558,-9.3811,54.28,73,18,16.71,few clouds
77,Sorland,NO,67.667,12.6934,26.56,63,6,10.98,clear sky
78,Zhezkazgan,KZ,47.8043,67.7144,31.26,95,100,7.07,overcast clouds
79,Palana,RU,59.1167,159.9667,19.53,90,100,28.23,light snow
80,Cherskiy,RU,68.75,161.3,-35.03,96,100,2.68,overcast clouds
81,Bethel,US,41.3712,-73.414,44.55,60,90,0.0,overcast clouds
82,Lebu,CL,-37.6167,-73.65,56.82,85,0,12.97,clear sky
83,Katangli,RU,51.7102,143.2326,28.45,79,32,10.98,scattered clouds
84,Vaini,TO,-21.2,-175.2,84.36,84,20,12.66,few clouds
85,Dauphin,CA,51.1494,-100.0502,-0.26,71,1,16.11,clear sky
86,Pevek,RU,69.7008,170.3133,-9.4,96,100,16.8,light snow
87,Olafsvik,IS,64.8945,-23.7142,41.81,87,100,17.56,moderate rain
88,Angoche,MZ,-16.2325,39.9086,75.54,88,25,6.4,scattered clouds
89,Santa Rosa,PH,14.3122,121.1114,82.09,68,24,9.51,few clouds
90,Ndele,CF,8.4109,20.6473,76.37,29,79,3.49,broken clouds
91,Barrow,US,71.2906,-156.7887,12.22,79,90,17.27,overcast clouds
92,Clyde River,CA,70.4692,-68.5914,10.63,85,100,29.93,light snow
93,Kuusamo,FI,65.9667,29.1833,-0.36,78,90,1.14,light shower snow
94,Provideniya,RU,64.3833,-173.3,28.51,86,90,8.95,snow
95,Norman Wells,CA,65.282,-126.8329,-27.36,62,75,0.0,broken clouds
96,Poum,NC,-20.2333,164.0167,81.09,75,10,11.43,clear sky
97,Velsk,RU,61.0701,42.0983,-2.36,100,98,1.39,overcast clouds
98,Adre,TD,13.4667,22.2,68.76,25,9,14.36,clear sky
99,Sitka,US,57.0531,-135.33,35.49,75,90,4.61,light snow
100,Imbituba,BR,-28.24,-48.6703,70.83,93,100,10.29,overcast clouds
101,Upernavik,GL,72.7868,-56.1549,26.22,79,100,4.79,overcast clouds
102,Carutapera,BR,-1.195,-46.02,78.8,85,22,6.73,few clouds
103,Diamantino,BR,-14.4086,-56.4461,73.99,93,89,1.63,moderate rain
104,Leczna,PL,51.3012,22.8814,32.31,100,90,3.44,mist
105,Sarakhs,IR,36.5449,61.1577,50.83,38,98,13.33,overcast clouds
106,Loyga,RU,61.0784,44.6075,-7.26,100,99,2.46,overcast clouds
107,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,69.42,94,3,1.74,clear sky
108,Culiacan,MX,24.7994,-107.3897,76.68,65,75,5.75,broken clouds
109,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,6.91,light rain
110,Krasnoselkup,RU,65.7,82.4667,-34.96,100,39,4.41,scattered clouds
111,Amapa,BR,1.0,-52.0,73.0,99,100,1.81,overcast clouds
112,Port Lincoln,AU,-34.7333,135.8667,67.89,53,100,2.64,overcast clouds
113,Hithadhoo,MV,-0.6,73.0833,81.14,79,100,11.48,overcast clouds
114,Lagoa,PT,39.05,-27.9833,63.1,75,98,11.81,overcast clouds
115,Anadyr,RU,64.75,177.4833,0.48,84,90,35.79,heavy snow
116,Honiara,SB,-9.4333,159.95,82.9,82,100,8.81,overcast clouds
117,Thompson,CA,55.7435,-97.8558,-20.04,76,1,8.05,clear sky
118,Cidreira,BR,-30.1811,-50.2056,69.48,87,72,13.56,broken clouds
119,Caravelas,BR,-17.7125,-39.2481,74.03,89,0,4.9,clear sky
120,Carnarvon,AU,-24.8667,113.6333,77.07,69,0,19.57,clear sky
121,Lesnoy,RU,57.6198,63.0784,19.72,94,100,3.56,overcast clouds
122,Xuddur,SO,4.1213,43.8894,68.67,86,6,10.36,clear sky
123,Amuntai,ID,-2.4177,115.2494,78.48,85,100,4.32,overcast clouds
124,Jutai,BR,-5.1833,-68.9,71.31,99,58,1.39,broken clouds
125,Kenai,US,60.5544,-151.2583,21.15,87,90,5.75,light snow
126,Esperance,AU,-33.8667,121.9,67.84,67,98,12.91,overcast clouds
127,Weilheim,DE,47.8333,11.15,32.25,95,94,3.65,overcast clouds
128,Kodiak,US,57.79,-152.4072,33.31,80,90,12.66,overcast clouds
129,Egvekinot,RU,66.3167,-179.1667,-0.71,81,89,23.76,overcast clouds
130,Tiksi,RU,71.6872,128.8694,-16.67,94,100,7.16,overcast clouds
131,Baglan,AF,36.1307,68.7083,42.06,78,0,0.56,clear sky
132,Ketchikan,US,55.3422,-131.6461,28.87,86,90,0.0,overcast clouds
133,Silly,BE,50.6355,3.9632,38.59,97,90,2.3,mist
134,Suba,PH,10.8438,121.0102,81.23,71,99,23.24,overcast clouds
135,Lazaro Cardenas,MX,17.9583,-102.2,77.97,83,86,4.81,overcast clouds
136,Beringovskiy,RU,63.05,179.3167,7.09,80,100,31.7,overcast clouds
137,Iqaluit,CA,63.7506,-68.5145,10.13,72,90,17.0,light snow
138,Moratuwa,LK,6.773,79.8816,76.73,87,10,3.65,clear sky
139,Saint-Philippe,RE,-21.3585,55.7679,76.55,78,37,11.01,scattered clouds
140,Narsaq,GL,60.9167,-46.05,25.02,75,72,9.08,broken clouds
141,Phan Thiet,VN,10.9333,108.1,75.51,79,83,1.88,broken clouds
142,Suntar,RU,62.1444,117.6319,-26.32,97,18,4.14,few clouds
143,Rocha,UY,-34.4833,-54.3333,59.77,97,29,3.27,scattered clouds
144,Jardim,BR,-21.4803,-56.1381,76.73,62,16,3.47,few clouds
145,Srednekolymsk,RU,67.45,153.6833,-48.23,99,86,4.83,overcast clouds
146,Ikot Ekpene,NG,5.1794,7.7108,76.44,91,100,4.41,overcast clouds
147,Sinnamary,GF,5.3833,-52.95,76.84,89,100,5.66,overcast clouds
148,Avarua,CK,-21.2078,-159.775,80.65,83,40,6.91,light rain
149,Sanmenxia,CN,34.7747,111.1814,42.78,48,5,3.29,clear sky
150,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,69,1,9.22,clear sky
151,Cayenne,GF,4.9333,-52.3333,78.1,91,0,3.0,clear sky
152,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.49,97,96,1.16,overcast clouds
153,Nanortalik,GL,60.1432,-45.2371,26.51,67,100,31.27,light snow
154,Havoysund,NO,70.9963,24.6622,29.28,96,100,33.15,light snow
155,Constitucion,CL,-35.3333,-72.4167,56.82,91,6,6.29,clear sky
156,Fare,PF,-16.7,-151.0167,81.25,72,74,14.74,broken clouds
157,Batemans Bay,AU,-35.7167,150.1833,68.2,63,100,7.27,overcast clouds
158,Mango,US,27.9797,-82.3065,71.94,81,75,0.0,broken clouds
159,Pitimbu,BR,-7.4706,-34.8086,81.19,77,55,15.43,broken clouds
160,Luderitz,NA,-26.6481,15.1594,60.28,85,0,9.37,clear sky
161,Bima,ID,-8.4667,118.7167,77.65,93,100,3.06,overcast clouds
162,Port Hedland,AU,-20.3167,118.5667,105.85,10,35,17.27,scattered clouds
163,Campbell River,CA,50.0163,-125.2446,37.26,79,90,0.0,overcast clouds
164,Pasighat,IN,28.0667,95.3333,65.34,60,100,2.3,overcast clouds
165,Yeppoon,AU,-23.1333,150.7333,82.18,68,63,14.38,broken clouds
166,Chicama,PE,-7.8447,-79.1469,63.14,78,100,6.11,overcast clouds
167,Bilma,NE,18.6853,12.9164,64.09,19,4,7.36,clear sky
168,Luanda,AO,-8.8368,13.2343,76.42,88,100,6.89,moderate rain
169,Cururupu,BR,-1.8283,-44.8683,76.98,90,14,3.58,few clouds
170,Nemuro,JP,43.3236,145.575,37.83,67,2,17.2,clear sky
171,Severo-Kurilsk,RU,50.6789,156.125,32.56,81,98,16.51,light snow
172,Sabang,ID,5.8933,95.3214,81.41,74,77,15.28,broken clouds
173,Jumla,NP,29.2747,82.1838,39.16,91,63,5.68,broken clouds
174,Ribeira Grande,PT,38.5167,-28.7,64.02,72,96,9.13,overcast clouds
175,Rorvik,NO,64.8621,11.2373,19.74,80,0,21.16,clear sky
176,North Myrtle Beach,US,33.816,-78.68,61.11,93,90,3.44,overcast clouds
177,Marawi,PH,7.9986,124.2928,68.65,83,81,4.43,broken clouds
178,Ponta Delgada,PT,37.7333,-25.6667,63.5,59,75,4.61,broken clouds
179,Moanda,GA,-1.5575,13.2178,71.19,98,100,1.41,light rain
180,Ewa Beach,US,21.3156,-158.0072,76.95,75,90,6.91,light rain
181,Suzzara,IT,44.9919,10.7431,40.08,93,99,3.44,overcast clouds
182,Lamu,KE,-2.2717,40.902,80.82,80,99,8.81,light rain
183,Doctor Mora,MX,21.1417,-100.3125,65.34,36,100,6.2,overcast clouds
184,Grand Gaube,MU,-20.0064,57.6608,77.4,73,77,1.99,light rain
185,Muncar,ID,-8.4333,114.3333,77.0,93,100,3.65,moderate rain
186,Naze,JP,28.3667,129.4833,65.32,68,62,15.26,broken clouds
187,Hingoli,IN,19.7167,77.15,64.74,70,4,5.35,clear sky
188,Bongandanga,CD,1.5,21.05,71.26,97,100,2.3,overcast clouds
189,Svetlogorsk,BY,52.6333,29.7333,27.88,95,100,5.64,overcast clouds
190,Gazojak,TM,41.1875,61.4036,37.51,74,100,10.09,overcast clouds
191,Wad Madani,SD,14.4012,33.5199,76.59,29,0,10.36,clear sky
192,Kamaishi,JP,39.2667,141.8833,32.95,66,3,9.13,clear sky
193,Ahipara,NZ,-35.1667,173.1667,75.25,63,92,10.76,overcast clouds
194,Ruangwa,TZ,-10.0667,38.9333,71.17,92,99,2.89,overcast clouds
195,Broken Hill,AU,-31.95,141.4333,78.51,21,65,4.61,broken clouds
196,Foz,ES,43.5692,-7.2544,53.42,91,100,5.97,overcast clouds
197,Biltine,TD,14.5333,20.9167,73.53,22,0,11.88,clear sky
198,Abu Zabad,SD,12.35,29.25,71.08,26,7,14.14,clear sky
199,Sarai,RU,53.7458,41.0213,26.94,75,94,4.07,overcast clouds
200,Khatanga,RU,71.9667,102.5,-17.64,99,100,6.53,overcast clouds
201,Kemijarvi,FI,66.7131,27.4306,-0.27,98,28,3.4,scattered clouds
202,Cedar City,US,37.6775,-113.0619,52.77,24,1,8.05,clear sky
203,Karasjok,NO,69.4719,25.5112,-0.29,95,15,5.84,few clouds
204,Odweyne,SO,9.4092,45.064,60.73,56,18,2.82,few clouds
205,Kargasok,RU,59.0556,80.8572,29.97,97,100,9.08,light snow
206,Covasint,RO,46.2,21.6,42.87,90,100,3.89,overcast clouds
207,Porbandar,IN,21.6422,69.6093,71.58,56,0,10.25,clear sky
208,Kruisfontein,ZA,-34.0033,24.7314,61.88,89,19,16.84,light rain
209,Vila Velha,BR,-20.3297,-40.2925,76.95,88,40,8.01,scattered clouds
210,Kassala,SD,15.451,36.4,73.87,56,0,7.43,clear sky
211,Pacific Grove,US,36.6177,-121.9166,61.61,85,40,1.99,scattered clouds
212,Labuhan,ID,-6.8844,112.2051,80.04,77,100,6.98,moderate rain
213,Nova Soure,BR,-11.2333,-38.4833,73.13,92,40,8.14,scattered clouds
214,Mehriz,IR,31.5917,54.4318,41.5,25,100,5.73,overcast clouds
215,Sisimiut,GL,66.9395,-53.6735,27.0,69,100,35.43,overcast clouds
216,Ust-Karsk,RU,52.7011,118.8077,4.12,92,16,4.14,few clouds
217,Tecoanapa,MX,16.5167,-98.75,79.47,77,0,8.12,clear sky
218,Karratha,AU,-20.7377,116.8463,96.73,20,26,16.51,scattered clouds
219,Talnakh,RU,69.4865,88.3972,-16.8,99,100,13.65,snow
220,Maues,BR,-3.3836,-57.7186,76.53,81,23,2.64,few clouds
221,Eenhana,NA,-17.4667,16.3333,68.63,77,70,9.75,broken clouds
222,Ayame,CI,5.6083,-3.1563,75.79,93,32,1.81,scattered clouds
223,Vila,PT,42.0304,-8.1588,42.33,85,81,2.28,broken clouds
224,Galesong,ID,-5.3166,119.3661,75.22,93,100,5.28,moderate rain
225,Ayna,PE,-12.65,-73.9167,59.56,92,100,1.03,overcast clouds
226,Kuala Terengganu,MY,5.3302,103.1408,75.15,94,20,1.14,few clouds
227,Salalah,OM,17.0151,54.0924,75.29,33,0,11.5,clear sky
228,Samarai,PG,-10.6167,150.6667,84.07,72,100,9.98,overcast clouds
229,Maniitsoq,GL,65.4167,-52.9,27.18,57,100,35.34,overcast clouds
